Search terms report
"January 17, 2024 - February 15, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Impr.,Interactions,Clicks,Currency code,Cost,Conversions,Campaign type
solar waco,Phrase match,None,G_S_NB_Generic_TX,Solar - list,"""solar""",6,0,0,USD,0.00,0.00,Search
texas solar integrated llc,Phrase match,None,G_S_NB_Generic_TX,Texas,"""texas solar""",2,0,0,USD,0.00,0.00,Search
generac generator with solar panels,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Systems,"""solar power system""",1,0,0,USD,0.00,0.00,Search
emp solar panels,Phrase match,None,G_S_NB_Generic_TX,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
7.2 kw solar system cost,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,"""solar cost calculator""",1,0,0,USD,0.00,0.00,Search
solar panel for a shed,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""the best solar panels""",2,0,0,USD,0.00,0.00,Search
how much does a tesla solar roof cost,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Products,"""solar roofing""",1,0,0,USD,0.00,0.00,Search
how much solar to power a house,Phrase match,None,G_S_NB_Generic_TX,Solar Cost,"""how much solar""",1,1,1,USD,5.52,0.00,Search
irs tax credit solar panels,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Incentives/Credits,"""federal tax credit for solar panels""",1,0,0,USD,0.00,0.00,Search
tesla home roof,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Products,"""solar tile roof""",1,0,0,USD,0.00,0.00,Search
5kw solar system with battery,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Incentives/Credits,"""solar power offers""",1,0,0,USD,0.00,0.00,Search
cost to go solar in texas,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Calculator,"""solar power estimator""",1,0,0,USD,0.00,0.00,Search
solar panels payback period,Broad match,None,G_S_NB_Generic_TX,Solar Cost,solar savings,1,0,0,USD,0.00,0.00,Search
solar system installation service,Exact match (close variant),None,G_S_NB_Generic_TX,Solar - list,[solar power near me],1,0,0,USD,0.00,0.00,Search
solar rooftop potential,Broad match,None,G_S_NB_Generic_TX,Solar Calculator,solar power estimator,1,0,0,USD,0.00,0.00,Search
how much does costco solar cost,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""get solar""",1,0,0,USD,0.00,0.00,Search
trinity solar md,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar power near me""",1,0,0,USD,0.00,0.00,Search
